id,number_of_reviews,last_review,reviews_per_month,review_rate_number
1122290,17,,0.16,3
1122842,222,,2.12,2
1123394,205,6/23/2019,1.96,4
1123947,94,6/09/2019,0.96,5
1124499,7,5/24/2019,0.07,3
1125051,108,6/30/2019,1.09,2
1125604,222,6/26/2019,2.1,5
1126156,458,7/03/2019,4.58,4
1126708,21,5/17/2019,0.26,1
1127260,17,5/08/2019,0.3,4
1127813,41,1/02/2019,0.39,3
1128365,1,4/03/2022,0.01,5
1128917,69,5/19/2019,0.67,5
1129470,18,7/01/2019,0.18,5
1130022,82,1/05/2016,0.78,1
1130574,94,6/23/2019,0.99,1
1131127,10,5/11/2019,0.1,4
1131679,183,9/29/2018,1.83,2
1132231,189,6/11/2019,1.82,3
1132783,1,10/07/2018,0.11,4
1133336,127,6/20/2019,1.22,4
1133888,4,8/25/2017,0.04,3
1134440,135,6/20/2019,1.3,1
1134993,21,12/12/2015,0.2,5
1135545,35,7/27/2017,0.34,1
1136097,10,6/01/2019,2.21,3
1136650,171,6/23/2019,1.8,5
1137202,92,4/30/2019,0.9,1
1137754,238,6/14/2019,2.3,
1138306,56,5/26/2019,0.58,
1138859,111,,2.13,
1139411,193,,,
1139963,147,,,
1140516,177,,,
1141068,185,5/24/2019,,4
1141620,62,6/21/2019,,2
1142173,124,6/16/2058,1.22,4
1142725,181,6/23/2019,1.77,1
1143277,333,7/02/2019,3.19,5
1143829,441,6/24/2019,4.5,5
1144382,45,5/16/2019,0.46,4
1144934,9,8/29/2016,0.09,5
1145486,0,,,1
1146039,38,6/27/2019,0.5,4
1146591,248,6/25/2019,2.39,4
1147143,143,6/19/2019,1.38,1
1147696,36,8/19/2018,0.41,5
1148248,0,,,
1148800,14,1/07/2019,0.14,
1149352,0,,,
1149905,279,6/24/2019,2.69,
1150457,18,1/02/2019,0.22,
1151009,50,5/26/2019,3.55,3
1151562,227,6/27/2019,2.27,2
1152114,1,1/02/2019,0.16,2
1152666,203,6/23/2019,1.96,3
1153219,210,7/06/2019,2.1,2
1153771,64,1/05/2019,0.67,5
1154323,0,,,2
1154875,5,1/03/2019,0.15,4
1155428,49,6/29/2019,0.48,1
1155980,132,7/07/2019,1.27,5
1156532,20,1/02/2019,0.26,3
1157085,11,5/02/2013,0.11,5
1157637,51,7/01/2019,0.57,4
1158189,15,6/30/2019,0.15,5
1158742,67,6/25/2019,1.31,2
1159294,109,6/23/2019,1.11,4
1159846,9,2/16/2019,0.11,4
1160398,187,6/23/2019,1.87,2
1160951,214,6/23/2019,2.08,4
1161503,69,7/01/2019,0.79,3
1162055,22,6/15/2019,0.26,2
1162608,56,5/06/2019,0.56,3
1163160,93,6/22/2019,0.93,5
1163712,104,6/25/2019,1.05,2
1164265,64,7/06/2018,0.68,1
1164817,127,6/24/2019,1.25,1
1165369,30,6/13/2019,0.32,4
1165921,106,6/27/2019,1.34,5
1166474,6,11/13/2016,0.1,4
1167026,191,6/20/2019,1.88,2
1167578,48,6/11/2019,0.55,3
1168131,47,6/29/2019,0.49,3
1168683,120,6/30/2019,1.27,4
1169235,52,1/10/2019,0.63,4
1169788,48,6/16/2019,0.48,4
1170340,32,5/24/2019,0.43,1
1170892,43,6/17/2019,0.42,5
1171444,39,6/25/2019,0.44,2
1171997,50,5/13/2014,0.5,4
1172549,4,1/02/2019,0.35,5
1173101,38,2/15/2019,0.39,3
1173654,29,6/16/2019,0.36,1
1174206,59,6/23/2019,0.6,3
1174758,68,6/07/2019,0.67,3
1175311,26,11/25/2015,0.27,5
1175863,31,3/01/2022,0.31,5
1176415,198,5/31/2019,2.01,1
1176967,1,3/28/2026,0.01,3
1177520,220,6/22/2019,2.17,3
1178072,286,6/27/2019,2.81,1
1178624,398,6/28/2019,3.97,5
1179177,36,7/01/2019,0.36,1
1179729,36,6/14/2019,0.36,1
1180281,6,2/05/2016,0.1,5
1180834,14,4/20/2019,0.3,4
1181386,76,3/31/2019,0.76,5
1181938,182,7/04/2019,1.81,4
1182490,8,3/27/2016,0.09,2
1183043,7,5/24/2019,0.07,
1183595,34,9/25/2018,0.51,
1184147,2,5/12/2021,0.02,
1184700,66,9/16/2016,,
1185252,80,6/30/2019,,
1185804,240,6/06/2019,2.4,3
1186357,46,7/02/2019,1.07,1
1186909,228,,2.27,1
1187461,5,,0.05,4
1188013,8,,0.11,5
1188566,33,,0.33,3
1189118,13,,0.14,5
1189670,5,7/22/2018,0.05,3
1190223,388,6/26/2019,3.88,3
1190775,223,6/23/2019,2.22,1
1191327,11,1/14/2019,0.11,2
1191880,151,6/24/2019,1.51,4
1192432,0,,,3
1192984,218,6/28/2019,2.26,3
1193536,75,6/23/2019,0.76,4
1194089,42,7/06/2019,1.21,5
1194641,0,,,1
1195193,370,7/05/2019,3.74,4
1195746,104,6/21/2019,1.04,5
1196298,13,7/18/2016,0.13,1
1196850,4,12/26/2018,0.07,2
1197403,11,6/07/2019,0.11,3
1197955,1,2/04/2022,0.01,1
1198507,19,6/11/2018,0.19,5
1199059,131,5/26/2019,1.31,1
1199612,15,5/01/2019,0.15,3
1200164,136,6/17/2019,1.37,4
1200716,43,7/08/2019,0.45,5
1201269,98,6/28/2019,0.99,3
1201821,31,3/01/2019,0.31,2
1202373,45,1/01/2018,0.46,5
1202926,124,6/26/2019,1.76,5
1203478,9,5/19/2018,0.09,4
1204030,166,5/27/2019,1.68,5
1204582,13,9/21/2015,0.13,3
1205135,15,1/05/2019,0.16,5
1205687,380,6/26/2019,3.83,4
1206239,86,6/16/2019,0.87,2
1206792,248,6/20/2019,2.53,2
1207344,49,6/19/2019,0.56,2
1207896,54,7/03/2019,0.57,4
1208449,3,1/01/2013,0.03,4
1209001,1,1/02/2016,0.02,1
1209553,56,12/28/2018,0.57,3
1210105,163,5/24/2019,1.66,3
1210658,247,6/21/2019,2.51,1
1211210,116,5/11/2019,1.17,5
1211762,27,5/19/2019,0.28,2
1212315,52,6/08/2019,0.6,5
1212867,39,9/24/2018,0.4,4
1213419,35,6/01/2019,0.35,5
1213972,320,6/23/2019,3.23,
1214524,30,6/16/2019,0.32,
1215076,225,6/24/2019,2.27,
1215628,95,5/26/2018,0.96,5
1216181,70,6/28/2019,0.75,2
1216733,35,1/03/2019,0.36,3
1217285,0,,,4
1217838,50,7/02/2019,0.51,3
1218390,29,6/23/2019,0.31,1
1218942,23,5/02/2016,0.23,2
1219495,142,6/16/2019,1.44,2
1220047,70,7/01/2019,0.73,4
1220599,38,6/03/2019,0.54,3
1221151,82,5/19/2019,0.94,2
1221704,403,7/07/2019,4.1,1
1222256,3,11/06/2014,0.03,2
1222808,3,8/04/2014,0.03,4
1223361,116,6/13/2019,1.18,4
1223913,175,7/07/2019,1.79,3
1224465,28,7/01/2019,1.21,5
1225018,24,12/26/2017,0.25,5
1225570,15,6/06/2016,0.15,5
1226122,105,6/06/2019,1.07,2
1226674,22,5/30/2019,0.38,5
1227227,263,6/24/2019,2.69,3
1227779,86,6/20/2019,0.91,5
1228331,10,1/01/2017,0.1,3
1228884,18,5/27/2019,0.21,1
1229436,8,7/08/2018,0.21,2
1229988,70,1/31/2019,0.73,4
1230541,150,7/05/2019,1.55,3
1231093,115,5/25/2017,1.18,1
1231645,69,5/26/2019,0.71,4
1232197,232,6/22/2019,2.41,3
1232750,35,1/13/2018,0.41,5
1233302,18,10/01/2013,0.21,5
1233854,68,6/10/2019,0.69,5
1234407,22,11/10/2014,0.23,5
1234959,17,5/18/2019,0.17,3
1235511,34,1/05/2016,0.58,5
1236064,8,6/06/2014,0.08,4
1236616,0,,,1
1237168,2,7/06/2018,0.08,3
1237720,52,4/27/2019,0.72,5
1238273,74,6/16/2019,0.76,2
1238825,18,5/31/2013,0.19,5
1239377,72,5/11/2019,0.86,4
1239930,191,6/29/2019,2.18,2
1240482,0,,,1
1241034,197,6/23/2019,2.49,5
1241587,19,7/06/2019,0.2,5
1242139,414,7/03/2019,4.34,5
1242691,8,12/11/2018,0.09,3
1243243,0,,,3
1243796,25,2/12/2019,0.3,5
1244348,119,5/28/2019,1.22,1
1244900,203,7/06/2019,2.14,5
1245453,53,11/16/2018,0.55,1
1246005,104,6/16/2019,1.09,2
1246557,175,6/28/2019,1.8,3
1247110,38,5/08/2018,0.42,4
1247662,39,5/02/2019,0.5,5
1248214,88,6/16/2019,0.91,3
1248766,27,10/08/2017,0.28,1
1249319,117,6/29/2019,1.28,5
1249871,43,5/20/2019,0.44,2
1250423,4,3/13/2015,0.05,3
1250976,385,6/29/2019,4,5
1251528,64,7/01/2019,0.68,1
1252080,39,6/24/2019,0.41,5
1252633,37,7/03/2019,1.79,2
1253185,10,1/01/2019,0.12,5
1253737,103,6/24/2019,1.08,2
1254289,41,6/01/2019,0.43,2
1254842,3,8/31/2014,0.03,5
1255394,227,6/26/2019,2.33,3
1255946,37,12/27/2018,0.79,5
1256499,29,6/28/2019,0.35,2
1257051,205,12/31/2017,2.31,5
1257603,42,6/03/2019,0.44,5
1258156,280,7/05/2019,2.92,1
1258708,86,6/08/2019,0.89,1
1259260,54,6/16/2019,0.56,1
1259812,7,8/29/2018,0.07,5
1260365,57,1/01/2019,0.59,5
1260917,31,5/01/2019,0.32,5
1261469,188,8/23/2018,1.94,3
1262022,480,7/07/2019,6.7,2
1262574,34,6/15/2019,0.35,1
1263126,6,8/08/2015,0.06,3
1263679,3,5/13/2018,0.04,5
1264231,2,8/31/2014,0.03,4
1264783,20,8/24/2018,0.21,2
1265335,129,6/07/2019,1.33,2
1265888,147,6/30/2019,1.6,5
1266440,101,7/01/2019,1.06,4
1266992,11,1/02/2016,0.12,4
1267545,11,10/15/2013,0.12,4
1268097,41,6/16/2040,0.43,3
1268649,87,4/18/2017,1.09,2
1269202,117,5/21/2019,1.21,
1269754,86,5/16/2019,0.89,
1270306,0,,,
1270858,15,2/15/2016,0.16,
1271411,35,7/02/2019,0.55,
1271963,17,10/01/2015,0.18,3
1272515,3,2/15/2016,0.04,4
1273068,43,1/03/2018,0.47,3
1273620,168,7/06/2019,4.6,5
1274172,241,6/24/2019,2.49,4
1274725,105,6/23/2019,1.13,3
1275277,11,10/28/2018,0.46,2
1275829,30,5/05/2018,0.33,4
1276381,31,10/23/2018,0.32,1
1276934,49,5/07/2019,0.51,1
1277486,23,4/13/2019,0.24,3
1278038,20,6/24/2019,0.21,5
1278591,18,6/24/2019,0.9,5
1279143,90,6/23/2019,0.95,3
1279695,99,6/27/2019,1.04,5
1280248,6,6/28/2019,0.06,5
1280800,21,12/01/2018,0.22,5
1281352,24,4/04/2019,0.26,5
1281904,111,6/02/2019,1.17,3
1282457,86,6/20/2019,0.91,1
1283009,66,4/29/2019,0.69,5
1283561,271,6/20/2019,2.84,1
1284114,227,6/18/2019,2.4,5
1284666,80,7/06/2019,1.55,3
1285218,5,12/03/2018,0.07,5
1285771,187,6/10/2019,1.97,3
1286323,2,8/28/2015,0.02,2
1286875,1,1/01/2016,0.02,5
1287427,67,10/20/2018,0.7,1
1287980,63,1/12/2018,0.68,1
1288532,89,7/01/2019,1,1
1289084,1,4/20/2014,0.02,3
1289637,177,6/29/2019,1.86,2
1290189,90,6/30/2019,0.94,3
1290741,39,7/07/2019,0.41,2
1291294,42,5/18/2019,0.44,5
1291846,33,5/08/2019,0.35,1
1292398,179,5/29/2019,2.02,5
1292950,81,3/28/2019,0.85,4
1293503,43,6/29/2019,0.45,5
1294055,52,10/31/2018,0.54,4
1294607,160,6/25/2019,1.68,2
1295160,23,5/21/2018,0.27,1
1295712,35,6/18/2017,0.37,4
1296264,225,6/12/2019,2.35,5
1296817,401,7/04/2019,6.62,4
1297369,72,6/17/2019,0.84,2
1297921,46,12/30/2018,0.97,5
1298473,83,6/23/2019,1.19,2
1299026,211,6/15/2019,2.21,2
1299578,15,6/14/2015,0.16,4
1300130,122,6/23/2019,1.29,4
1300683,295,6/12/2019,3.9,4
1301235,207,7/07/2019,2.18,4
1301787,50,3/30/2019,0.65,3
1302340,273,6/24/2019,2.85,3
1302892,0,,,1
1303444,25,4/30/2018,0.26,4
1303996,105,5/11/2019,1.62,1
1304549,72,12/26/2016,0.76,5
1305101,8,9/18/2016,0.08,3
1305653,58,6/04/2019,0.61,1
1306206,8,9/17/2015,0.09,4
1306758,172,7/02/2019,1.84,5
1307310,330,6/20/2019,7.14,4
1307863,123,6/11/2019,1.29,2
1308415,55,4/30/2019,0.59,1
1308967,87,7/03/2019,0.99,4
1309519,258,6/25/2019,2.7,1
1310072,4,8/27/2018,0.18,4
1310624,31,5/26/2019,0.33,4
1311176,128,11/15/2016,1.34,2
1311729,14,8/31/2015,0.15,5
1312281,30,6/24/2019,0.32,1
1312833,258,5/28/2019,2.9,2
1313386,228,4/25/2018,2.39,4
1313938,,7/01/2019,0.65,3
1314490,9,6/30/2019,0.2,3
1315042,179,6/19/2019,1.88,2
1315595,9,6/23/2016,0.1,2
1316147,1,4/21/2019,0.37,1
1316699,25,8/29/2018,0.49,1
1317252,2,2/08/2018,0.05,1
1317804,152,6/25/2019,1.6,1
1318356,24,3/31/2019,0.25,3
1318909,45,4/22/2019,0.47,4
1319461,7,11/14/2018,0.08,4
1320013,19,6/03/2019,0.35,5
1320565,24,1/19/2019,0.26,2
1321118,8,10/14/2017,0.09,4
1321670,29,6/03/2015,0.31,2
1322222,14,7/20/2015,0.15,5
1322775,33,5/25/2019,0.38,5
1323327,99,2/28/2019,1.04,3
1323879,59,1/05/2017,0.62,5
1324432,142,6/16/2019,1.5,1
1324984,0,,,5
1325536,22,3/15/2019,0.23,4
1326088,82,5/21/2019,0.87,5
1326641,23,9/15/2018,0.24,1
1327193,32,5/08/2019,0.34,4
1327745,24,6/23/2019,0.25,2
1328298,59,10/26/2018,0.63,2
1328850,6,1/02/2015,0.08,5
1329402,18,7/05/2018,0.21,4
1329955,3,12/26/2018,0.03,4
1330507,115,7/05/2019,1.21,5
1331059,154,6/19/2019,1.63,1
1331611,164,7/01/2019,1.73,4
1332164,76,6/13/2019,0.8,5
1332716,116,6/30/2019,1.23,3
1333268,234,6/30/2019,2.47,1
1333821,120,6/24/2019,1.27,2
1334373,82,5/18/2019,0.87,2
1334925,13,5/26/2019,0.15,1
1335478,59,6/24/2019,0.64,3
1336030,63,6/26/2019,1.87,1
1336582,52,8/14/2018,0.55,1
1337134,278,7/03/2019,2.95,2
1337687,1,2/02/2022,0.01,1
1338239,35,6/09/2019,0.4,4
1338791,235,6/29/2019,2.49,2
1339344,115,6/30/2019,1.21,5
1339896,109,10/02/2015,1.15,2
1340448,1,7/09/2013,0.01,4
1341001,305,6/27/2019,3.24,3
1341553,102,6/18/2019,1.52,4
1342105,83,5/31/2019,0.88,3
1342657,19,7/31/2018,0.25,1
1343210,61,5/18/2019,0.65,3
1343762,89,6/30/2019,0.94,1
1344314,65,7/31/2017,0.74,1
1344867,40,6/16/2019,0.44,3
1345419,80,4/26/2019,0.86,5
1345971,136,6/19/2019,1.45,4
1346524,100,5/28/2018,1.06,5
1347076,125,7/06/2019,1.36,4
1347628,40,4/14/2019,0.5,2
1348180,0,,,5
1348733,139,4/28/2019,1.59,5
1349285,0,,,1
1349837,2,10/06/2014,0.03,2
1350390,49,6/26/2019,0.53,5
1350942,8,5/18/2018,0.11,3
1351494,0,,,3
1352047,124,5/25/2019,1.32,1
1352599,5,12/19/2018,0.12,2
1353151,147,6/30/2019,1.57,5
1353703,43,4/14/2019,0.46,5
1354256,8,1/03/2019,0.33,3
1354808,37,1/02/2019,0.39,1
1355360,120,6/19/2019,1.28,3
1355913,24,1/01/2019,0.29,5
1356465,5,7/09/2017,0.05,2
1357017,242,4/01/2019,2.59,5
1357570,229,6/21/2019,2.45,3
1358122,108,6/19/2019,1.36,1
1358674,181,6/05/2019,1.92,5
1359226,34,7/01/2019,0.39,1
1359779,5,10/02/2016,0.05,1
1360331,5,8/17/2015,0.06,4
1360883,60,6/25/2019,0.64,3
1361436,238,6/23/2019,2.59,4
1361988,34,4/22/2019,0.37,2
1362540,131,6/24/2019,1.4,2
1363093,6,6/28/2017,0.16,4
1363645,4,7/03/2015,0.06,
1364197,7,10/07/2018,0.08,
1364749,125,7/07/2019,3.04,
1365302,0,,,
1365854,49,12/03/2014,0.58,2
1366406,11,9/25/2017,0.12,1
1366959,0,,,1
1367511,107,5/23/2019,1.15,2
1368063,241,6/29/2019,2.6,4
1368616,176,6/29/2019,1.89,3
1369168,151,6/16/2019,1.63,4
1369720,49,8/09/2018,0.53,2
1370272,13,9/01/2018,0.14,3
1370825,33,6/24/2019,0.47,3
1371377,24,11/06/2018,0.32,4
1371929,59,6/24/2019,0.66,2
1372482,2,6/25/2015,0.04,1
1373034,16,6/28/2019,0.23,2
1373586,72,11/26/2018,0.77,3
1374139,24,4/25/2019,0.26,3
1374691,23,6/22/2019,0.26,3
1375243,43,7/02/2019,0.47,4
1375795,30,7/03/2019,0.32,5
1376348,39,6/29/2019,0.44,1
1376900,8,7/26/2018,0.09,5
1377452,3,11/03/2015,0.03,2
1378005,6,4/19/2018,0.1,4
1378557,4,12/04/2015,0.05,2
1379109,56,7/06/2019,0.66,4
1379662,7,11/16/2018,0.08,3
1380214,2,1/13/2014,0.03,5
1380766,178,6/24/2019,2.69,4
1381318,30,5/31/2019,0.8,2
1381871,190,6/23/2019,2.04,3
1382423,25,6/30/2019,0.27,3
1382975,81,5/31/2019,0.98,5
1383528,7,6/22/2019,0.08,1
1384080,216,7/01/2019,2.31,5
1384632,31,1/28/2019,0.33,4
1385185,53,8/12/2017,0.57,4
1385737,247,6/21/2019,2.65,2
1386289,233,4/10/2019,2.5,5
1386841,135,6/24/2019,1.45,5
1387394,20,12/30/2015,0.23,3
1387946,46,6/02/2019,0.5,4
1388498,10,10/26/2014,0.12,1
1389051,143,6/30/2018,2.83,1
1389603,21,5/22/2019,0.26,5
1390155,0,,,4
1390708,8,5/19/2019,0.09,1
1391260,4,8/28/2017,0.05,1
1391812,314,7/01/2019,3.45,4
1392364,18,6/18/2019,0.25,3
1392917,11,5/27/2015,0.12,1
1393469,51,6/02/2019,0.55,3
1394021,20,4/01/2017,0.33,4
1394574,8,12/30/2017,0.12,5
1395126,59,6/06/2019,0.63,1
1395678,54,6/24/2019,0.62,1
1396231,10,12/31/2018,0.46,4
1396783,153,6/25/2019,1.66,5
1397335,110,6/02/2019,1.2,2
1397887,69,1/01/2019,0.91,4
1398440,1,1/27/2019,0.18,3
1398992,24,8/19/2015,0.26,4
1399544,95,1/02/2019,1.02,5
1400097,129,4/28/2019,1.41,1
1400649,171,3/31/2019,1.84,1
1401201,20,6/09/2019,0.59,4
1401754,17,5/03/2017,0.27,1
1402306,8,1/08/2015,0.09,3
1402858,11,11/01/2015,0.12,5
1403410,5,7/05/2018,0.09,5
1403963,0,,,1
1404515,36,3/19/2019,0.39,4
1405067,16,3/31/2019,0.17,4
1405620,5,7/12/2018,0.12,2
1406172,0,,,1
1406724,68,6/03/2019,0.77,5
1407277,89,6/30/2018,0.99,5
1407829,10,6/24/2019,1.02,4
1408381,38,7/01/2019,0.85,3
1408933,15,6/09/2019,0.17,3
1409486,20,1/21/2019,0.42,3
1410038,25,6/15/2019,0.96,5
1410590,35,5/27/2019,0.42,3
1411143,1,9/24/2013,0.01,2
1411695,64,6/02/2019,0.7,4
1412247,26,2/16/2019,0.33,2
1412800,244,6/25/2019,2.74,5
1413352,21,1/15/2019,0.29,5
1413904,270,7/07/2019,2.95,3
1414456,16,3/27/2019,0.19,4
1415009,24,6/27/2019,0.26,2
1415561,30,6/28/2019,0.33,4
1416113,5,9/07/2015,0.06,3
1416666,115,6/12/2019,1.25,1
1417218,9,6/25/2019,0.19,1
1417770,45,5/26/2019,0.52,2
1418323,19,9/08/2015,0.21,3
1418875,5,12/31/2018,0.08,4
1419427,203,6/20/2019,2.22,3
1419979,20,1/02/2018,0.41,1
1420532,49,10/27/2018,0.53,4
1421084,6,4/21/2019,0.07,3
1421636,7,6/18/2017,0.08,5
